,Defender,value_added_total,shot_worth_total,PTS_total,Shot_defenses,value_added_per_shot,shot_worth_per_shot,PTS_per_shot_allowed,SHOT_RESULT,probs,mean_pps,SHOT_DIST,SHOT_CLOCK,CLOSE_DEF_DIST,TOUCH_TIME,DRIBBLES
285,"Love, Kevin",-113.4548214,1008.26944,958,996,-0.113910463,1.012318715,0.96184739,0.453815261,0.475723086,0.994268579,10.96295181,12.5811633,3.92811245,2.560441767,1.741967871
2,"Adams, Steven",-112.0087073,822.8819698,753,807,-0.138796415,1.01968026,0.933085502,0.442379182,0.483625167,0.994268579,10.6425031,12.193169,4.077695167,2.663320942,1.802973978
102,"Cousins, DeMarcus",-111.2672915,809.6555714,747,807,-0.137877685,1.003290671,0.925650558,0.444857497,0.480228996,0.994268579,9.52850062,12.85282349,3.692317224,2.562949195,1.675340768
252,"Jordan, DeAndre",-109.019733,1206.927733,1170,1209,-0.090173476,0.998285966,0.967741935,0.46898263,0.481869335,0.994268579,10.06757651,11.71747606,4.285690653,2.519189413,1.569065343
209,"Henson, John",-107.522581,586.912792,514,561,-0.191662355,1.04619036,0.916221034,0.442067736,0.502412098,0.994268579,9.113903743,12.14226092,3.525311943,2.672192513,1.877005348
8,"Aldridge, LaMarcus",-105.0866925,979.6162574,932,976,-0.107670791,1.003705182,0.954918033,0.444672131,0.470452984,0.994268579,12.56711066,12.69775448,4.552254098,3.16670082,2.358606557
166,"Gasol, Pau",-101.2624902,1096.697933,1061,1127,-0.089851367,0.97311263,0.941437445,0.462289264,0.476088722,0.994268579,8.642590949,12.68557183,3.493611358,2.725820763,1.77284827
151,"Favors, Derrick",-101.2036196,875.4796429,827,920,-0.110003934,0.951608308,0.898913043,0.423913043,0.451209879,0.994268579,10.88695652,11.99861251,3.733913043,2.774565217,1.933695652
299,"Mayo, O.J.",-97.17744295,504.7523595,440,495,-0.196318067,1.019701736,0.888888889,0.373737374,0.42461622,0.994268579,17.13131313,11.66197943,4.146060606,1.954545455,1.315151515
170,"Gibson, Taj",-93.22242071,645.9476801,596,674,-0.138312197,0.958379347,0.884272997,0.408011869,0.440573675,0.994268579,12.99050445,11.8371917,4.020474777,2.868249258,2
17,"Antetokounmpo, Giannis",-91.03600078,837.319683,801,790,-0.115235444,1.059898333,1.013924051,0.443037975,0.468011737,0.994268579,13.71139241,12.12852457,4.100379747,2.152405063,1.393670886
134,"Drummond, Andre",-89.39276945,1040.838144,1014,1017,-0.087898495,1.023439669,0.997050147,0.484759095,0.495469864,0.994268579,9.484365782,12.65430289,3.953195674,2.53972468,1.658800393
352,"Pachulia, Zaza",-88.8837644,702.7266704,652,691,-0.128630629,1.016970579,0.943560058,0.454413893,0.489835959,0.994268579,9.991606368,11.92722272,3.886107091,2.480173661,1.687409551
490,"Zeller, Tyler",-86.74513544,868.0408594,832,867,-0.100052059,1.00120053,0.959630911,0.471741638,0.489579204,0.994268579,8.630334487,12.66814281,3.479584775,2.83160323,1.910034602
